repo	module	file_path	class_name	kind	extends	table_or_path	field_count	fields
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/export/CsvExportJobIdentityDto.java	CsvExportJobIdentityDto	dto			0	
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/export/ExportDataDto.java	ExportDataDto	dto			0	
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/carrier/SchedulePaymentRequestDto.java	SchedulePaymentRequestDto	dto			0	
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/carrier/CarrierServiceDto.java	CarrierServiceDto	dto			0	
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/carrier/CarrierInvoiceDto.java	CarrierInvoiceDto	dto			0	
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/carrier/CarrierVehicleDto.java	CarrierVehicleDto	dto			0	
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/carrier/CarrierInvoiceUpdateDto.java	CarrierInvoiceUpdateDto	dto			0	
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/carrier/CarrierInvoiceTransactionDto.java	CarrierInvoiceTransactionDto	dto			0	
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/carrier/UpdateTransactionRequestDto.java	UpdateTransactionRequestDto	dto			0	
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/customer/CustomerInvoiceDto.java	CustomerInvoiceDto	dto			0	
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/customer/CustomerFooterNoteDto.java	CustomerFooterNoteDto	dto			0	
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/customer/CustomerVehicleChargeDto.java	CustomerVehicleChargeDto	dto			0	
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/customer/CustomerVehicleDto.java	CustomerVehicleDto	dto			0	
invoices	api-dtos	api-dtos/src/main/java/cars/ship/invoices/dtos/customer/CustomerInvoiceUpdateDto.java	CustomerInvoiceUpdateDto	dto			0	
invoices	db-entities	db-entities/src/main/java/cars/ship/invoices/entities/LocationEntity.java	LocationEntity	jpa	BaseDbEntity	locations	5	street:String;city:String;state:String;zipCode:String;locationId:String
invoices	db-entities	db-entities/src/main/java/cars/ship/invoices/entities/ContactEntity.java	ContactEntity	jpa	BaseDbEntity	contacts	7	companyName:String;email:String;name:String;phone:String;dotNumber:String;userManagementId:String;location:LocationEntity
invoices	db-entities	db-entities/src/main/java/cars/ship/invoices/entities/ChargeEntity.java	ChargeEntity	jpa	BaseDbEntity	charges	6	name:String;code:String;amountInCents:long;costInCents:long;isTotalRate:boolean;vehicle:VehicleEntity
invoices	db-entities	db-entities/src/main/java/cars/ship/invoices/entities/ServiceEntity.java	ServiceEntity	jpa	BaseDbEntity	services	5	name:String;type:String;quantity:int;rateInCents:long;invoice:InvoiceEntity
invoices	db-entities	db-entities/src/main/java/cars/ship/invoices/entities/InvoiceEntity.java	InvoiceEntity	jpa	BaseDbEntity	invoices	39	company:CompanyEntity;userId:String;loadId:String;shipperLoadId:String;fileUrl:String;totalAmountInCents:long;carrierReceivablesAmountInCents:long;customer:ContactEntity;carrier:ContactEntity;pickup:ContactEntity;delivery:ContactEntity;pickupActualDate:LocalDate;deliveryActualDate:LocalDate;distanceInMeters:int;distanceInMiles:BigDecimal;status:InvoiceStatusEnum;systemStatus:InvoiceSystemStatusEnum;carrierLoadId:String;carrierInvoiceId:String;carrierInvoiceRevisionId:String;carrierInvoiceRevisionNumber:int;carrierInvoiceLastRevisionNumber:int;number:String;carrierInvoiceDeliveryStatus:CarrierInvoiceDeliveryStatusEnum;carrierInvoiceCreateDate:LocalDate;carrierInvoiceIssueDate:LocalDate;paymentDueDate:LocalDate;paymentNotes:String;paymentMethod:PaymentMethodEnum;paymentTermBusinessDays:Integer;paymentTermCalendarDays:Integer;paymentTermBegins:PaymentTermBeginsEnum;externalUpdateTime:Instant;externalLoadUpdateTime:Instant;useFactoringCompany:boolean;latest:boolean;vehicles:VehicleEntity[];services:ServiceEntity[];transactions:TransactionEntity[]
invoices	db-entities	db-entities/src/main/java/cars/ship/invoices/entities/CompanyEntity.java	CompanyEntity	jpa	BaseDbEntity	companies	4	footerNotes:String;name:String;phone:String;location:LocationEntity
invoices	db-entities	db-entities/src/main/java/cars/ship/invoices/entities/VehicleEntity.java	VehicleEntity	jpa	BaseDbEntity	vehicles	8	shippingItemId:String;carrierVehicleId:String;totalRateInCents:Long;make:String;year:Integer;customInformation:String;invoice:InvoiceEntity;charges:ChargeEntity[]
invoices	db-entities	db-entities/src/main/java/cars/ship/invoices/entities/TransactionEntity.java	TransactionEntity	jpa	BaseDbEntity	transactions	13	paymentId:String;referenceNumber:String;message:String;paymentMethod:TransactionPaymentMethodEnum;status:TransactionStatusEnum;totalAmountInCents:long;feeInCents:long;scheduledSendTime:Instant;paymentEta:Instant;targetAvailabilityDate:LocalDate;initiatedTime:Instant;settlementTime:Instant;invoice:InvoiceEntity
invoices	db-entities	db-entities/src/main/java/cars/ship/invoices/entities/common/InvoiceFilter.java	InvoiceFilter	dto			0	
invoices	services	services/src/main/java/cars/ship/invoices/vos/UserVo.java	UserVo	dto			0	
invoices	services	services/src/main/java/cars/ship/invoices/temporal/dto/csvexport/CsvExportedWebSocketMsgDto.java	CsvExportedWebSocketMsgDto	dto			6	jobId:String;errorMessage:String;url:String;action:String;userId:String;companyId:String
invoices	services	services/src/main/java/cars/ship/invoices/temporal/dto/csvexport/ExportCsvExportWorkflowOutDto.java	ExportCsvExportWorkflowOutDto	dto			0	
invoices	services	services/src/main/java/cars/ship/invoices/temporal/dto/csvexport/ExportCsvOutDto.java	ExportCsvOutDto	dto			0	
invoices	services	services/src/main/java/cars/ship/invoices/temporal/dto/csvexport/ExportCsvInDto.java	ExportCsvInDto	dto			0	
invoices	services	services/src/main/java/cars/ship/invoices/temporal/dto/csvexport/ExportCsvWorkflowInDto.java	ExportCsvWorkflowInDto	dto			0	
invoices	services	services/src/main/java/cars/ship/invoices/temporal/dto/csvexport/CsvExportedEvent.java	CsvExportedEvent	dto			0	
invoices	services	services/src/main/java/cars/ship/invoices/temporal/dto/invoicecreate/CreateCustomerInvoiceInDto.java	CreateCustomerInvoiceInDto	dto			0	
invoices	services	services/src/main/java/cars/ship/invoices/clients/dto/AttachmentMultipartForm.java	AttachmentMultipartForm	dto			3	data:byte[];fileName:String;createAttachmentDto:CreateAttachmentDto
