canonical	occurrence	repo_count	sample_aliases	sample_repos
EmailMessage	3	3	EmailMessageDto	driveaway-backend,inventory-backend,invoices
ExtraObject	3	2	ExtraObjectDto,ExtraObjectReadDto	cube,models-lib
FullLoadLeg	3	2	FullLoadLegDto,FullLoadLegReadDto,V3FullLoadLegDto	models-lib,posting-backend
InspectionConfiguration	3	2	InspectionConfigurationDto,InspectionConfigurationReadDto	cube,models-lib
Integration	3	1	Integration,IntegrationDto,IntegrationEntity	integrations-backend
KeyCloakUser	3	2	KeyCloakUserDto,KeyCloakUserEntity	fraud-detector,models-lib
LoadLocationLog	3	3	LoadLocationLogEntity,LoadLocationLogReadDto	cube,location-history-backend,models-lib
LoadUpdate	3	3	LoadUpdate,LoadUpdateDto	driveaway-backend,posting-backend,trip-planner
LoadboardVehicle	3	1	LoadboardVehicle,LoadboardVehicleDto,LoadboardVehiclePubSubDto	posting-backend
LocationFilter	3	2	LocationFilter,LocationFilterDto	cube,trip-planner
LocationInfo	3	2	AutoImsLocationInfoDto,LocationInfoDto	autoims-backend,location-provider
LocationVo	3	3	LocationVo	posting-backend,public-tracking-backend,trip-planner
LocationWithCoordinates	3	2	LocationWithCoordinatesDto,LocationWithCoordinatesReadDto,V1LocationWithCoordinatesPubSubDto	models-lib,posting-backend
ManagedOrder	3	2	ManagedOrder,ManagedOrderDto,ManagedOrderReadDto	models-lib,posting-backend
ManagedOrderUpdate	3	1	ManagedOrderUpdate,ManagedOrderUpdateDto,V4ManagedOrderUpdateDto	posting-backend
ManagedOrderVehicleUpdate	3	1	ManagedOrderVehicleUpdate,ManagedOrderVehicleUpdateDto,V4ManagedOrderVehicleUpdateDto	posting-backend
MileageBand	3	2	MileageBandDto,MileageBandEntity	contract-pricing-backend,uship-quotes
NotificationSettings	3	1	NotificationSettings,NotificationSettingsDto,NotificationSettingsEntity	load-recommender
Pong	3	3	PongDto	inventory-backend,loadbuilder-backend,posting-backend
PostingsFilter	3	1	PostingsFilter,PostingsFilterDto,V1PostingsFilterDto	cube
QueryFilter	3	1	QueryFilter,QueryFilterDto,V1QueryFilterDto	cube
RateInformation	3	1	RateInformation,RateInformationDto,V1RateInformationDto	posting-backend
RatesJob	3	1	RatesJob,RatesJobDbEntity,RatesJobDto	loadbuilder-backend
SavedView	3	1	SavedView,SavedViewDto,SavedViewRequestDto	cube
Slot	3	2	Slot,SlotDto	models-lib,trip-planner
Sort	3	3	SortDto,V1SortDto	posting-backend,quote-manager-backend,user-backend
Spot	3	2	Spot,SpotDto	models-lib,trip-planner
StateRev	3	3	StateRevDto	ai-dashboard-backend,quarkus-imperative-boilerplate,quarkus-k8s-boilerplate
StripeCustomer	3	1	StripeCustomer,StripeCustomerEntity,V3StripeCustomerDto	user-backend
StripeDetails	3	2	StripeDetailsDto,V1StripeDetailsDto,V2StripeDetailsDto	quote-manager-backend,user-backend
StripePrice	3	1	StripePrice,StripePriceEntity,V3StripePriceDto	user-backend
StripeProduct	3	1	StripeProduct,StripeProductEntity,V3StripeProductDto	user-backend
StripeSubscription	3	1	StripeSubscription,StripeSubscriptionEntity,V3StripeSubscriptionDto	user-backend
StripeSubscriptionItem	3	1	StripeSubscriptionItem,StripeSubscriptionItemEntity,V3StripeSubscriptionItemDto	user-backend
Surcharge	3	2	SurchargeDto,SurchargeEntity	contract-pricing-backend,uship-quotes
SyncJob	3	1	SyncJob,SyncJobDbEntity,SyncJobDto	autoims-backend
TimeMeta	3	3	TimeMetaDto	autoims-backend,inventory-backend,loadbuilder-backend
UpdateStripeSubscription	3	2	UpdateStripeSubscription,V3UpdateStripeSubscription,V3UpdateStripeSubscriptionDto	payment-backend,user-backend
UpdateStripeSubscriptionItem	3	2	UpdateStripeSubscriptionItem,V3UpdateStripeSubscriptionItem,V3UpdateStripeSubscriptionItemDto	payment-backend,user-backend
UserContext	3	3	UserContext,UserContextDto	commons,integrations-backend,uship-quotes
UserEvent	3	3	UserEventPubSubDto	chat-backend,notification-backend,posting-backend
UserManagementCompany	3	1	UserManagementCompanyDto,UserManagementCompanyEntity,UserManagementCompanyPubSubDto	fraud-detector
UserManagementUser	3	1	UserManagementUserDto,UserManagementUserEntity,UserManagementUserPubSubDto	fraud-detector
UserSettings	3	1	UserSettings,UserSettingsDbEntity,UserSettingsDto	inventory-backend
UserVo	3	3	UserVo	invoices,payment-backend,trip-planner
